"DAY SHEETS, as at 6:43AM on Saturday 19th"
DAY 1: Saturday 19th September 2026
Race,Time,Event #,Event Type,Round,Division,lane_1,lane_2,lane_3,lane_4,lane_5,lane_6,lane_7,lane_8,lane_9,Progression
1 (A),08:30,1,W Mst C 2X,final,A,,WELC 1 (C),CAMC 1 (C),WHAC 1 (C),BPCC 1 (C),AVNC 1 (C),,,,""
2 (B),08:35,2,M Mst D 1X,heat,1,,AKLC 1 (D),AWGC 1 (D),TPOC 1 (D),UNCC 1 (D),NSHC 1 (D*),,,,"1-3=F + 2 NF"
3 (C),08:40,2,M Mst D 1X,heat,2,,NSHC 2 (D*),SGEC 1 (D),NSHC 3 (D),TGAC 1 (D),UNCC 2 (D),HAMC 1 (D),,,"1-3=F + 2 NF"
4 (D),08:45,3,W Mst F 4X-,final,A,,,WELC 2 (F),SGEC 1 (F),WELC 1 (F),MER* 1 (F),,,,""
5 (E),08:50,5,M Mst F 2X,final,A,CAM* 1 (F),HWBC 1 (F),AWGC 1 (F),UNWC 1 (F),SGEC 1 (F),AWG* 2 (F*),SGEC 2 (F),,,"medals"
6 (F),08:55,6,W Mst D 1X,final,A,,,SGEC 1 (D),WELC 1 (D),WHAC 1 (D),AWGC 1 (D),,,,""
7 (G),09:00,7,M A-C 2-,final,A,,,NSHC 1 (A),CAMC 1 (B),HWBC 1 (C),,,,,""
8 (H),09:05,8,W Mst B 4X-,final,A,,,HWBC 1 (B*),PETC 2 (B),CAMC 1 (B),PETC 1 (B),,,,""
9 (I),09:10,9,W Mst A 1X,final,A,,UNWC 1 (A),CURC 1 (A),UNWC 2 (A*),NSHC 1 (A),WESC 1 (A*),,,,""
10 (J),09:15,10,M Mst E 2-,final,A,,,AKLC 1 (E*),NSHC 1 (E),AVNC 1 (E),,,,,""
11 (K),09:20,11,W Mst I 1X,final,A,,,SGEC 1 (I),,,,,,,""
11 (K),09:20,12,W Mst G 2X,final,A,,,,UNC* 1 (G),,,,,,""
11 (K),09:20,13,W Mst H 1X,final,A,,,,,SGEC 1 (H),,,,,""
12 (L),09:25,14,W Mst E 4X-,final,A,,HWBC 1 (E),UNC* 1 (E),AKLC 1 (E),WREC 1 (E),WELC 1 (E),,,,""
13 (M),09:30,15,M G-M 8+,final,A,,,,AWG* 1 (G),BPC* 1 (G),,,,,""
14 (N),09:35,2,M Mst D 1X,final,A,,,,,,,,,,"medals"
15 (O),10:10,19,W MNw 4X+,final,A,,HWBC 1,SGE* 1,WELC 1,AWGC 1,CAMC 1,WHA* 1,,,""
16 (P),10:15,20,W MNv 4X+,final,A,,,,PETC 1,SGE* 1,NSHC 1,,,,""
17 (Q),10:20,21,Opn 1X (P),final,A,,,CAMC 1,WESC 1,CAMC 2,WKOC 1,,,,""
18 (R),10:25,22,M Mst B 2X,final,A,AVNC 1 (B*),BPCC 1 (B),NSHC 1 (B),PET* 1 (B),NSHC 2 (B),CAMC 1 (B),UNCC 1 (B*),,,""
19 (S),10:30,23,M MNw 4X+,final,A,,,AWGC 1,HWB* 1,CAMC 1,SGEC 1,,,,""
20 (T),10:35,25,M Mst A 1X,final,A,,,,ROTC 1 (A),NSHC 1 (A),,,,,""
21 (U),10:40,26,Mx G-M 2X,final,A,,SGEC 1 (G),BPCC 1 (G),SGEC 2 (H),CAMC 1 (G),MERC 1 (G),WELC 1 (H),,,""
22 (V),10:45,27,M Mst C 1X,final,A,,BPCC 1 (C),NSHC 1 (C*),HWBC 1 (C),TGAC 1 (C),CAMC 1 (C),UNWC 1 (C),,,""
23 (W),10:50,28,Mx D-F 4X-,division,1,HAMC 1 (E),NSH* 1 (E),HWBC 2 (E),SGEC 1 (E),AWGC 1 (E),UNCC 1 (E),WHA* 1 (E),,,""
24 (X),10:55,28,Mx D-F 4X-,division,2,,HAMC 2 (E),WREC 1 (E),HWBC 1 (F),PETC 1 (E),WELC 1 (E),AKLC 2 (F),,,""
25 (Y),11:00,28,Mx D-F 4X-,division,3,,AVN* 1 (D),CURC 1 (D),AKLC 1 (D),BPC* 1 (D),HWBC 3 (D),CAMC 2 (D),,,""
26 (Z),11:05,29,W A-C 8+,final,A,,,AVN* 1 (C),WHA* 1 (B),WELC 1 (C),,,,,""
27 (A),11:40,34,W Mst D 2X,heat,1,,WESC 1 (D),HWBC 1 (D),MERC 1 (D*),AKLC 1 (D),WELC 2 (D),BPCC 1 (D),,,"1-3=F + 2 NF"
28 (B),11:45,34,W Mst D 2X,heat,2,CAMC 2 (D),BPCC 2 (D),WHAC 1 (D),WESC 2 (D),WELC 1 (D),SGEC 1 (D),CAMC 1 (D),,,"1-3=F + 2 NF"
29 (C),11:50,33,M G-M 4-,final,A,,,UNW* 1 (H),AWGC 1 (G),,,,,,""
29 (C),11:50,35,W G-M 4-,final,A,,,,,SGEC 1 (H),SGEC 2 (G),,,,""
30 (D),12:00,36,W Mst E 2-,final,A,,,NSHC 1 (E*),CTYC 1 (E),,,,,,""
30 (D),12:00,37,W Mst F 1X,final,A,,,,,HAMC 1 (F),,,,,""
31 (E),12:05,38,Mx A-C 4X-,division,1,,ROT* 1 (B),BPCC 1 (B),CAMC 1 (B),UNWC 1 (A),HWBC 1 (B),,,,""
32 (F),12:10,38,Mx A-C 4X-,division,2,WELC 1 (C),UNCC 1 (C),AVNC 2 (C*),CURC 1 (C),WREC 1 (C),CAMC 2 (C),AVNC 1 (C),PETC 1 (C),,""
33 (G),12:25,39,M D-F 8+,final,A,,,,HWBC 1 (F),AWG* 1 (F),,,,,""
34 (H),12:30,34,W Mst D 2X,final,A,,,,,,,,,,"medals"
35 (I),13:05,44,W Mst B 1X,final,A,,,WELC 1 (B),BPCC 1 (B),UNWC 1 (B),,,,,""
36 (J),13:10,45,W Mst A 2X,final,A,,UNWC 1 (A),AVNC 1 (A),UNWC 2 (A),PETC 1 (A*),CAM* 1 (A),,,,""
37 (K),13:15,46,W Mst C 1X,final,A,,,WESC 1 (C),CAMC 1 (C),AKLC 1 (C),PETC 1 (C),,,,""
38 (L),13:20,47I,I Mst 2X,final,A,,,CAMC 1,WESC 1,CAMC 2,,,,,""
39 (M),13:25,48,M Mst C 4X-,final,A,,,BPCC 1 (C),NSHC 1 (C),UNWC 1 (C),CAMC 1 (C),,,,""
40 (N),13:30,49,M Mst B 1X,final,A,,,CURC 1 (B),WREC 1 (B),NSHC 1 (B),,,,,""
41 (O),13:35,50,Mx MNw 2X,division,1,,CAMC 2,HWBC 2,NSH* 1,AWGC 1,HAMC 1,SGEC 2,,,""
42 (P),13:40,50,Mx MNw 2X,division,2,,AVNC 1,CURC 1,SGEC 4,CAMC 3,SGEC 1,AWGC 2,,,""
43 (Q),13:45,50,Mx MNw 2X,division,3,,UNCC 1,SGEC 3,HWBC 1,CAMC 1,HWBC 3,,,,""
44 (R),13:50,51,Mx MNv 2X,final,A,,,NSHC 1,PETC 1,HWBC 1,SGEC 1,,,,""
45 (S),13:55,53,Mx D-F 8+,final,A,,WHA* 1 (D),WELC 1 (F),AVNC 1 (D),UNC* 1 (D),AKLC 1 (E),HWBC 1 (D),,,""
46 (T),14:00,52,Mx G-M 4X-,final,A,,,SGEC 2 (H),MER* 1 (G),SGEC 1 (H),,,,,""
47 (U),14:35,57,M Mst F 2-,final,A,,,AKLC 1 (F),HWBC 1 (F),CAM* 1 (F),,,,,""
48 (V),14:40,58,M Mst E 1X,final,A,,NSHC 2 (E),AVNC 1 (E),NSHC 1 (E),HAMC 1 (E),CAMC 1 (E),,,,""
49 (W),14:45,60,W Mst E 1X,final,A,,,CAMC 1 (E),WESC 1 (E),,,,,,""
50 (X),14:50,62,M G-M 2-,final,A,,,NSHC 1 (G),SGEC 1 (H),AWG* 1 (G),PET* 1 (G),,,,""
51 (Y),14:55,63,W MNw 1X,final,A,,ROTC 1,CURC 1,AVNC 1,CAMC 1,HAMC 1,,,,""
52 (Z),15:00,64,W MNv 2X,final,A,HWBC 1,BPCC 1,CAMC 1,WHAC 1,SGEC 1,WREC 1,AWGC 1,,,""
53 (A),15:10,61,W Mst G 4X-,final,A,SGEC 1 (G),,,,,,,,,""
53 (A),15:10,65,Mx E-M 4-,final,A,,,BPCC 1 (G),WELC 1 (E),PETC 1 (E),HWBC 1 (F),UNC* 1 (E),,,""
54 (B),15:15,66,W H-M 2X,final,A,,,,SGEC 1 (I),SGEC 2 (H),,,,,""
55 (C),15:20,67,Mx A-D 4-,division,1,,,UNWC 1 (A),HWBC 2 (B),HOR* 1 (B),BPCC 1 (C),,,,""
56 (D),15:25,67,Mx A-D 4-,division,2,,UNC* 1 (D),AVNC 1 (D),HWBC 1 (D),AVNC 2 (D),SGEC 1 (D),,,,""
57 (E),15:30,68,M MNw 1X,final,A,CAMC 2,WESC 1,HWBC 1,CAMC 1,SGEC 2,CURC 1,SGEC 1,,,""
58 (F),15:35,69,M MNv 2X,final,A,,,NSHC 1,AVN* 1,HWB* 1,,,,,""
